player,date,elo
ArtPed,2024-11-03,1032.0
ArtPed,2024-11-14,1058.17
ArtPed,2024-11-20,1077.51
ArtPed,2025-04-26,1043.08
ArtPed,2025-05-03,1069.19
ArtPed,2025-05-15,1008.22
ArtPed,2025-07-26,1002.6
ArtPed,2025-08-02,961.79
ArtPed,2025-08-09,927.51
ArtPed,2025-08-16,952.81
ArtPed,2025-08-23,892.48
HellstormBishop,2024-11-03,1032.0
HellstormBishop,2024-11-14,1058.17
HellstormBishop,2024-11-20,1077.51
HellstormBishop,2025-04-26,1043.08
HellstormBishop,2025-05-03,1069.19
HellstormBishop,2025-05-15,1008.22
HellstormBishop,2025-07-26,1012.44
HellstormBishop,2025-08-02,1066.85
HellstormBishop,2025-08-09,1101.13
HellstormBishop,2025-08-23,1040.8
Zardosh,2024-11-03,1032.0
Zardosh,2024-11-20,1051.34
Vitor,2024-11-03,968.0
Vitor,2024-11-14,941.83
Vitor,2024-11-20,922.49
Vitor,2025-04-26,956.92
WarriorOfCadia40,2024-11-03,968.0
WarriorOfCadia40,2024-11-14,941.83
WarriorOfCadia40,2024-11-20,922.49
WarriorOfCadia40,2025-04-26,956.92
WarriorOfCadia40,2025-05-03,930.81
WarriorOfCadia40,2025-05-15,869.84
WarriorOfCadia40,2025-07-26,874.06
WarriorOfCadia40,2025-08-02,833.25
WarriorOfCadia40,2025-08-09,867.54
WarriorOfCadia40,2025-08-16,842.23
WarriorOfCadia40,2025-08-23,932.73
Henriquerike14_,2024-11-03,968.0
Henriquerike14_,2025-04-26,933.57
BrunoBour,2024-11-14,1026.17
Babebi,2024-11-14,973.83
Babebi,2024-11-20,954.49
Babebi,2025-04-26,988.92
Samuk,2025-04-26,1034.43
Samuk,2025-05-03,1008.32
Samuk,2025-08-02,967.51
Samuk,2025-08-09,933.23
Samuk,2025-08-16,907.92
Bardun,2025-04-26,965.57
Bardun,2025-05-03,939.45
Bardun,2025-07-26,933.83
Bardun,2025-08-02,893.02
Bardun,2025-08-16,918.32
Bardun,2025-08-23,857.99
Ferrer,2025-05-03,1026.12
Ferrer,2025-05-15,1117.57
Ferrer,2025-07-26,1111.95
Ferrer,2025-08-02,1166.35
Ferrer,2025-08-09,1132.07
Ferrer,2025-08-16,1157.37
Ferrer,2025-08-23,1247.87
Xande,2025-05-15,1091.46
Xande,2025-08-02,1145.86
Xande,2025-08-09,1180.15
Near,2025-07-26,1004.22
ColdInformer,2025-07-26,1004.22
ColdInformer,2025-08-16,978.92
